"","X","temperature","lower","rain","month","yr"
"1",1,10.8,6.5,12.2,1,1987
"2",2,10.5,4.5,1.3,1,1987
"3",3,7.5,-1,0.1,1,1987
"4",4,6.5,-3.3,1.1,1,1987
"5",5,10,5,3.5,1,1987
"6",6,8,3,0.1,1,1987
"7",7,5.8,-3.3,0,1,1987
"8",8,2.8,-5.5,0,1,1987
"9",9,-0.8,-4.8,0,1,1987
"10",10,1.5,-1,0,1,1987
"11",11,1.5,-7.5,0,1,1987
"12",12,-3.5,-11.5,0.7,1,1987
"13",13,-6.8,-11.3,0.3,1,1987
"14",14,-4.3,-7.5,5.3,1,1987
"15",15,-2,-5.5,0,1,1987
"16",16,0.8,-2.5,0,1,1987
"17",17,1,-2,0,1,1987
"18",18,-2,-3,0,1,1987
"19",19,-1,-3.8,0,1,1987
"20",20,0,-3.8,0,1,1987
"21",21,2.8,-0.3,0,1,1987
"22",22,5.5,2.3,0.7,1,1987
"23",23,6.8,4.8,0.9,1,1987
"24",24,6.3,4,0.2,1,1987
"25",25,5.5,3.3,0,1,1987
"26",26,4,2,0,1,1987
"27",27,5.8,1.5,0,1,1987
"28",28,3.5,-1.8,0,1,1987
"29",29,5.5,-5,0,1,1987
"30",30,4.5,-4.8,0,1,1987
"31",31,1.8,-9.8,0,1,1987
"32",32,3.8,-8.8,0,2,1987
"33",33,4.5,-6.5,0.8,2,1987
"34",34,6.3,3,0.4,2,1987
"35",35,9.3,5.5,0,2,1987
"36",36,9.5,6.3,0,2,1987
"37",37,11,7.5,0,2,1987
"38",38,12,2,0.2,2,1987
"39",39,9.5,4,0,2,1987
"40",40,12.5,8.5,2.4,2,1987
"41",41,9.5,4.5,0.2,2,1987
"42",42,8.8,-0.3,0.6,2,1987
"43",43,8,2.3,0.9,2,1987
"44",44,5,-3.3,0,2,1987
"45",45,6.3,-0.8,14.9,2,1987
"46",46,4.3,-1.5,0.5,2,1987
"47",47,5.5,-3.3,0,2,1987
"48",48,3,-1.3,0.1,2,1987
"49",49,3.3,-1.3,0,2,1987
"50",50,3.5,-4.3,0.4,2,1987
"51",51,3.8,-2.5,0,2,1987
"52",52,3,-1.3,0,2,1987
"53",53,5.8,1.8,0.4,2,1987
"54",54,6.8,-0.8,0.4,2,1987
"55",55,4.5,-0.8,0,2,1987
"56",56,4.5,-4,0,2,1987
"57",57,5.8,-1.5,0,2,1987
"58",58,10.8,2.8,5.8,2,1987
"59",59,11.8,9.5,6.6,2,1987
"60",60,14.5,7.5,5.6,3,1987
"61",61,11.3,6.8,1.4,3,1987
"62",62,9.5,0.3,0,3,1987
"63",63,2.8,-3.3,0.9,3,1987
"64",64,3.5,-0.8,0.2,3,1987
"65",65,8.3,1.8,1,3,1987
"66",66,3.5,1,4.8,3,1987
"67",67,3.8,0.3,7.4,3,1987
"68",68,4,-0.8,0,3,1987
"69",69,4.5,-1.5,0,3,1987
"70",70,7,-2.3,0,3,1987
"71",71,7,-3.5,0,3,1987
"72",72,7.5,-5.5,0,3,1987
"73",73,5.5,-4.5,0,3,1987
"74",74,6.3,-2.8,0,3,1987
"75",75,8,0.8,0,3,1987
"76",76,7.8,3.5,0,3,1987
"77",77,12.3,3.3,2.8,3,1987
"78",78,8.3,-2,2.3,3,1987
"79",79,7,-0.8,0.3,3,1987
"80",80,7.8,-2.8,0,3,1987
"81",81,7.3,-2.5,0,3,1987
"82",82,9.8,4,5,3,1987
"83",83,10.8,7.8,6.4,3,1987
"84",84,11.3,9.3,5,3,1987
"85",85,10.3,1.8,0.5,3,1987
"86",86,12.3,6.5,10.7,3,1987
"87",87,11.5,3.8,1,3,1987
"88",88,8.3,0.8,2.2,3,1987
"89",89,9,1.3,0.4,3,1987
"90",90,11.3,3.8,0,3,1987
"91",91,10.8,7,2.7,4,1987
"92",92,8.3,1.8,7,4,1987
"93",93,10,3.5,0,4,1987
"94",94,9.8,7.8,5.4,4,1987
"95",95,8.5,2.5,10.2,4,1987
"96",96,14,6,0,4,1987
"97",97,12.5,6.8,13.4,4,1987
"98",98,12.3,7,1.4,4,1987
"99",99,12,7.8,1.4,4,1987
"100",100,13.5,2.5,0.3,4,1987
"101",101,11.5,3.5,2.5,4,1987
"102",102,11,2,0,4,1987
"103",103,11,2,0,4,1987
"104",104,10.8,5.5,0,4,1987
"105",105,14.3,3.3,0,4,1987
"106",106,13.3,1.8,0,4,1987
"107",107,18.5,7.5,0,4,1987
"108",108,21.5,5.5,0,4,1987
"109",109,16,11.3,0,4,1987
"110",110,15.3,8,0.4,4,1987
"111",111,12.5,4.5,0,4,1987
"112",112,15.3,7.5,0,4,1987
"113",113,16,3,0,4,1987
"114",114,20.8,4.3,0,4,1987
"115",115,22.3,7.5,0,4,1987
"116",116,19.3,6.5,0,4,1987
"117",117,22.3,7.5,0,4,1987
"118",118,20.8,4,0,4,1987
"119",119,22.8,8.5,0,4,1987
"120",120,20.8,11,3.8,4,1987
"121",121,14.5,11.5,0,5,1987
"122",122,16,3.8,1.9,5,1987
"123",123,13.8,3.3,2.1,5,1987
"124",124,10.5,1.5,0.7,5,1987
"125",125,13,5.8,0,5,1987
"126",126,14.3,4.3,0,5,1987
"127",127,16.3,5.3,0,5,1987
"128",128,18,-0.3,0,5,1987
