Date,Open,High,Low,Close,Volume,Market Cap
16-May-20,9333.24,9564.20,9260.69,9377.01,36164766408.00,172340956579.00
15-May-20,9734.29,9755.83,9261.40,9328.20,48158802327.00,171436341789.00
14-May-20,9271.33,9793.27,9255.03,9733.72,56426907637.00,178881641547.00
13-May-20,8805.39,9317.88,8805.39,9269.99,45558144023.00,170352710071.00
12-May-20,8610.39,8949.90,8569.64,8804.48,42142717533.00,161791577301.00
11-May-20,8755.54,9033.47,8374.32,8601.80,57119858802.00,158059235276.00
10-May-20,9591.17,9595.58,8395.11,8756.43,63325279337.00,160884755211.00
9-May-20,9840.91,9913.86,9580.64,9593.90,46566121841.00,176251395673.00
8-May-20,9936.16,9996.74,9767.17,9842.67,51780748042.00,180804859844.00
7-May-20,9261.90,9992.66,9138.32,9951.52,61112700562.00,182787376637.00
6-May-20,9007.44,9411.47,8966.71,9268.76,49371886931.00,170229620935.00
5-May-20,8912.83,9062.41,8856.83,9003.07,43148462663.00,165332488792.00
4-May-20,8895.74,8956.91,8645.02,8912.65,45718796276.00,163654493632.00
3-May-20,8983.61,9167.78,8830.97,8897.47,47101785174.00,163358189151.00
2-May-20,8869.06,9007.19,8811.37,8988.60,40134388683.00,165012307600.00
1-May-20,8672.78,9048.02,8667.76,8864.77,44068389997.00,162722652380.00
30-Apr-20,8797.67,9440.65,8533.26,8658.55,66964629541.00,158922133909.00
29-Apr-20,7806.71,8871.75,7786.05,8801.04,60201052203.00,161522471385.00
28-Apr-20,7796.97,7814.53,7730.81,7807.06,33187959921.00,143266252261.00
27-Apr-20,7679.42,7795.60,7679.42,7795.60,36162144725.00,143040988590.00
26-Apr-20,7570.14,7700.59,7561.41,7679.87,33070154491.00,140903867573.00
25-Apr-20,7550.48,7641.36,7521.67,7569.94,32941541447.00,138874072264.00
24-Apr-20,7434.18,7574.20,7434.18,7550.90,34636526286.00,138512029491.00
23-Apr-20,7121.31,7491.78,7081.59,7429.72,43500782316.00,136275638031.00
22-Apr-20,6879.44,7145.87,6867.78,7117.21,33249153866.00,130530916077.00
21-Apr-20,6879.78,6934.55,6834.44,6880.32,32589741511.00,126175238603.00
20-Apr-20,7186.87,7240.29,6835.50,6881.96,37747113936.00,126192239912.00
19-Apr-20,7260.92,7280.52,7167.05,7189.42,31311210215.00,131815853850.00
18-Apr-20,7092.29,7269.96,7089.25,7257.66,32447188386.00,133053136876.00
17-Apr-20,7116.55,7167.18,7050.33,7096.18,32513423567.00,130078472088.00
16-Apr-20,6640.45,7134.45,6555.50,7116.80,46783242377.00,130445413270.00
15-Apr-20,6845.56,6928.66,6633.40,6642.11,32288311031.00,121731940639.00
14-Apr-20,6843.28,6958.56,6793.82,6842.43,34110434052.00,125388687977.00
13-Apr-20,6965.62,6965.62,6668.26,6845.04,38619308647.00,125422221237.00
12-Apr-20,6858.07,7119.95,6811.08,6971.09,35759567632.00,127716846208.00
11-Apr-20,6867.44,6926.07,6789.92,6859.08,31222085946.00,125651623116.00
10-Apr-20,7303.82,7303.82,6802.47,6865.49,43622840992.00,125755496117.00
9-Apr-20,7337.97,7341.45,7179.09,7302.09,34815139178.00,133737857010.00
8-Apr-20,7179.28,7356.22,7153.31,7334.10,37563249549.00,134309895036.00
7-Apr-20,7273.64,7427.94,7136.71,7176.41,44243482668.00,131409299432.00
6-Apr-20,6788.05,7271.78,6782.89,7271.78,46896904615.00,133140400948.00
5-Apr-20,6862.54,6883.41,6715.93,6791.13,29510409856.00,124328853512.00
4-Apr-20,6738.38,6878.95,6696.48,6867.53,33185988584.00,125712834530.00
3-Apr-20,6797.40,7003.22,6673.34,6733.39,38976504903.00,123244051100.00
2-Apr-20,6606.78,7088.25,6595.92,6793.62,47660646124.00,124335130640.00
1-Apr-20,6437.32,6612.57,6202.37,6606.78,40346426266.00,120903014693.00
31-Mar-20,6430.61,6504.52,6374.16,6438.64,32786468812.00,117814077267.00
30-Mar-20,5925.54,6517.20,5903.23,6429.84,37101651525.00,117640143688.00
29-Mar-20,6245.62,6250.47,5920.09,5922.04,28373690931.00,108338520156.00
28-Mar-20,6467.25,6467.50,6117.84,6242.19,34885225901.00,114183689641.00
27-Mar-20,6719.39,6793.84,6466.70,6469.80,34585598367.00,118336082172.00
26-Mar-20,6675.17,6735.46,6590.96,6716.44,35319797642.00,122834375216.00
25-Mar-20,6738.72,6892.51,6536.93,6681.06,44590107888.00,122174009143.00
24-Mar-20,6436.64,6789.02,6411.07,6734.80,48221910672.00,123148917787.00
23-Mar-20,5831.37,6443.93,5785.00,6416.31,46491916000.00,117314776187.00
22-Mar-20,6185.56,6359.70,5823.71,5830.25,40099664740.00,106591196069.00
21-Mar-20,6206.52,6378.14,5932.82,6185.07,42494390880.00,113068192795.00
20-Mar-20,6191.65,6844.26,5865.78,6198.78,54442976103.00,113309245860.00
