Date,Open,High,Low,Close,Volume,Market Cap
"May 16, 2020",42.85,43.74,42.58,43.21,3879155974.00,2797840306.00
15-May-20,43.95,44.06,42.47,42.83,4340414828.00,2772979035.00
14-May-20,43.09,44.23,42.48,43.95,5023559798.00,2844597190.00
13-May-20,42.07,43.55,41.95,43.13,4565388581.00,2791779469.00
12-May-20,41.74,42.68,41.41,42.11,4734936547.00,2725296857.00
11-May-20,42.36,42.86,40.14,41.70,5121746343.00,2698347048.00
10-May-20,47.26,47.26,40.57,42.37,5783062532.00,2741254063.00
9-May-20,47.84,48.94,47.13,47.27,4740601428.00,3058380577.00
8-May-20,47.31,48.55,46.63,47.88,4780707207.00,3097356144.00
7-May-20,46.02,48.07,45.03,47.33,5080727910.00,3061336365.00
6-May-20,46.77,47.78,45.94,45.94,4575858023.00,2971266131.00
5-May-20,47.45,47.91,46.37,46.79,4187625277.00,3025540504.00
4-May-20,48.24,48.35,46.04,47.47,4488284400.00,3069527725.00
3-May-20,49.46,50.04,47.55,48.27,4667453994.00,3120493727.00
2-May-20,47.77,49.57,47.45,49.46,4453777871.00,3197119850.00
1-May-20,46.71,48.60,46.71,47.79,4581731065.00,3089051663.00
30-Apr-20,49.15,50.92,46.58,46.71,5724477325.00,3019046193.00
29-Apr-20,46.09,49.62,46.01,49.18,5673988960.00,3178164249.00
28-Apr-20,44.74,46.31,44.07,46.03,4413476561.00,2974099483.00
27-Apr-20,44.68,45.42,43.89,44.71,4473729902.00,2888544819.00
26-Apr-20,44.72,45.34,44.31,44.69,4687873111.00,2886855018.00
25-Apr-20,44.82,45.65,44.37,44.71,4769855704.00,2888203931.00
24-Apr-20,42.99,45.17,42.94,44.81,4786600723.00,2894063140.00
23-Apr-20,41.88,43.37,41.43,42.94,4757478698.00,2772774520.00
22-Apr-20,40.99,42.32,40.69,41.89,4029531589.00,2704698254.00
21-Apr-20,40.81,41.26,40.42,41.04,3954491838.00,2649690810.00
20-Apr-20,42.67,43.38,40.46,40.83,4293209435.00,2635710772.00
19-Apr-20,44.35,44.51,42.60,42.63,4563334114.00,2751996675.00
18-Apr-20,42.75,44.38,42.53,44.36,4508378329.00,2863206054.00
17-Apr-20,42.68,43.21,42.00,42.75,4096625538.00,2758454401.00
16-Apr-20,39.64,43.01,38.60,42.69,4985504369.00,2754496415.00
15-Apr-20,41.08,41.71,39.45,39.59,3696959521.00,2554181141.00
14-Apr-20,41.22,41.82,40.68,41.05,3713345006.00,2648383666.00
13-Apr-20,42.50,42.50,39.96,41.20,3998289644.00,2657814813.00
12-Apr-20,42.32,43.29,42.01,42.45,3639638078.00,2737892510.00
11-Apr-20,42.26,42.97,41.69,42.32,3374908252.00,2729109196.00
10-Apr-20,46.40,46.47,41.33,42.27,4008964133.00,2725609591.00
9-Apr-20,46.35,46.58,45.17,46.38,3628019378.00,2990629539.00
8-Apr-20,44.68,46.75,44.35,46.32,3831132142.00,2986094917.00
7-Apr-20,44.40,47.20,44.11,44.67,4391267713.00,2879255750.00
6-Apr-20,40.66,44.49,40.54,44.39,4287968687.00,2861077283.00
5-Apr-20,40.69,41.00,39.93,40.67,3084146015.00,2620968039.00
4-Apr-20,40.34,40.83,39.96,40.68,3229457622.00,2621009072.00
3-Apr-20,39.89,41.08,39.68,40.36,3482692346.00,2600305500.00
2-Apr-20,39.36,41.65,39.25,39.87,3985953572.00,2568780271.00
1-Apr-20,39.28,39.38,37.45,39.38,3303999600.00,2536712327.00
31-Mar-20,39.12,39.37,38.68,39.30,3359087002.00,2531157610.00
30-Mar-20,37.26,39.32,37.26,39.14,3318334905.00,2520514843.00
29-Mar-20,38.87,38.93,37.21,37.33,2683734233.00,2403961159.00
28-Mar-20,38.86,39.33,37.10,38.87,3119837445.00,2502911913.00
27-Mar-20,40.18,40.60,38.89,38.92,2962853270.00,2505504071.00
26-Mar-20,39.17,40.17,38.79,40.16,2827963692.00,2585178521.00
25-Mar-20,40.48,40.70,38.55,39.15,3133347522.00,2519916317.00
24-Mar-20,38.75,40.75,38.27,40.49,3331925793.00,2605834454.00
23-Mar-20,35.58,38.85,35.42,38.77,3598154774.00,2494558925.00
22-Mar-20,38.37,39.48,35.50,35.63,3148219029.00,2292391578.00
21-Mar-20,38.08,39.34,36.95,38.34,3438721430.00,2466743818.00
20-Mar-20,39.11,43.33,35.59,38.13,4537692970.00,2452922646.00
19-Mar-20,33.72,40.23,33.71,39.07,4157185543.00,2513235593.00
18-Mar-20,33.56,34.14,32.78,33.68,3170415992.00,2166347103.00
17-Mar-20,32.90,35.42,32.79,33.56,3289527849.00,2158391141.00
16-Mar-20,36.45,36.45,30.61,32.88,4079630236.00,2113940825.00
15-Mar-20,34.41,38.23,34.20,36.44,3434485463.00,2342660616.00
14-Mar-20,37.54,37.60,34.04,34.40,3270465986.00,2211281928.00
13-Mar-20,31.00,39.25,25.57,37.44,7552238198.00,2406597116.00
12-Mar-20,48.45,48.56,30.63,30.93,5417383296.00,1988180694.00
11-Mar-20,50.26,50.61,46.24,48.46,3807551814.00,3114857126.00
10-Mar-20,50.48,51.25,49.40,50.26,3945792927.00,3229716140.00
9-Mar-20,51.64,52.31,47.28,50.17,5097423294.00,3223665284.00
8-Mar-20,60.58,60.61,51.73,51.73,4523736331.00,3323571636.00
7-Mar-20,63.02,63.76,60.50,60.55,4258036532.00,3889681824.00
6-Mar-20,62.05,63.77,61.46,63.03,4766934524.00,4048469921.00
5-Mar-20,60.40,63.14,60.40,62.05,4712202709.00,3985045689.00
4-Mar-20,61.14,61.57,59.36,60.38,4429853608.00,3877791382.00
3-Mar-20,61.02,62.35,60.01,61.14,5412760345.00,3926290829.00
2-Mar-20,57.98,61.94,57.55,61.00,5309970238.00,3916306949.00
1-Mar-20,58.53,60.12,56.65,57.96,4317287191.00,3720790355.00
29-Feb-20,59.75,61.38,58.39,58.54,4168117352.00,3758049404.00
28-Feb-20,61.44,63.17,57.84,59.76,5266399749.00,3835945103.00
27-Feb-20,61.03,64.62,57.80,61.51,5649302854.00,3947440769.00
26-Feb-20,71.18,71.86,58.58,61.01,6518313483.00,3915328585.00
25-Feb-20,75.50,75.81,70.07,71.18,5755711246.00,4567178980.00
24-Feb-20,79.56,79.56,72.38,75.54,6355612214.00,4846065100.00
23-Feb-20,75.07,79.80,74.98,79.54,5702486428.00,5102126285.00
22-Feb-20,73.49,76.49,72.57,75.13,5547090434.00,4819103854.00
21-Feb-20,69.57,74.94,68.91,73.45,5579449656.00,4710680779.00
20-Feb-20,70.98,72.17,67.46,69.62,5500324693.00,4464832282.00
19-Feb-20,77.08,78.20,70.54,71.14,5298677185.00,4561234455.00
18-Feb-20,73.19,78.01,70.89,77.04,5600214717.00,4938917809.00
17-Feb-20,74.97,75.38,69.44,73.25,5593944695.00,4695804838.00
16-Feb-20,76.73,80.41,69.58,75.15,6186098306.00,4817137104.00
15-Feb-20,83.03,83.38,76.10,76.51,5612667760.00,4903772881.00
14-Feb-20,80.38,83.46,79.43,82.99,5382846670.00,5318240171.00
13-Feb-20,81.23,83.69,78.58,80.40,6579062946.00,5151873617.00
12-Feb-20,76.49,82.27,76.45,81.30,5701884854.00,5208558724.00
11-Feb-20,74.35,76.63,72.85,76.60,4742120918.00,4906933361.00
10-Feb-20,77.14,77.56,73.12,74.34,5373709984.00,4761554712.00
9-Feb-20,76.45,78.20,75.69,77.09,5145711108.00,4937660994.00
8-Feb-20,74.40,77.42,72.14,76.47,5496860399.00,4897092475.00
7-Feb-20,73.47,74.96,73.22,74.36,5051951258.00,4761261677.00
6-Feb-20,72.53,74.66,71.11,73.39,5463272394.00,4698795737.00
5-Feb-20,68.11,73.18,67.88,72.49,5169585841.00,4640906808.00
4-Feb-20,69.77,70.33,66.90,68.20,4449652117.00,4365253454.00
3-Feb-20,69.99,72.39,68.97,69.78,4965069690.00,4466102181.00
2-Feb-20,70.80,73.25,68.13,70.23,5482993030.00,4494447999.00
1-Feb-20,67.91,72.28,67.66,70.82,6009767449.00,4531596557.00
31-Jan-20,68.18,69.38,65.79,67.88,5718104791.00,4342918713.00
30-Jan-20,60.01,69.74,58.78,68.16,6042169957.00,4360322858.00
29-Jan-20,60.66,62.25,59.78,60.08,3894445882.00,3842950242.00
28-Jan-20,58.77,61.15,57.76,60.67,4220742210.00,3880511637.00
27-Jan-20,56.28,59.58,56.08,58.76,3832184228.00,3758010753.00
26-Jan-20,53.69,56.48,53.30,56.21,3283750798.00,3594505100.00
25-Jan-20,54.56,54.56,52.77,53.70,2938756558.00,3433273431.00
24-Jan-20,54.64,55.42,51.36,54.53,3532776556.00,3486182447.00
23-Jan-20,58.35,58.48,53.39,54.63,3348002983.00,3492096602.00
22-Jan-20,57.64,58.99,57.32,58.35,3076205980.00,3729779086.00
21-Jan-20,57.23,57.96,56.27,57.65,3130143642.00,3684221719.00
20-Jan-20,57.78,58.09,56.23,57.20,3306438947.00,3655443935.00
19-Jan-20,59.45,61.79,56.18,57.80,4197776579.00,3693201722.00
18-Jan-20,61.30,62.17,58.53,59.41,4426051530.00,3795493154.00
17-Jan-20,57.64,62.89,56.90,61.49,5067456613.00,3927821846.00
16-Jan-20,58.05,58.30,55.15,57.62,4347723835.00,3680300934.00
15-Jan-20,58.39,59.92,56.17,58.05,5070738793.00,3707655223.00
14-Jan-20,49.70,59.88,49.69,58.48,5729547956.00,3734400000.00
13-Jan-20,51.12,51.39,48.93,49.73,3336204744.00,3175647876.00
12-Jan-20,49.32,51.30,49.01,51.08,3858852964.00,3261300810.00
11-Jan-20,48.63,51.33,48.09,49.26,3915781115.00,3144901794.00
10-Jan-20,45.21,49.17,44.03,48.73,3808140302.00,3110300142.00
9-Jan-20,45.62,45.78,44.31,45.22,2986327757.00,2885860528.00
8-Jan-20,46.45,48.20,44.63,45.65,3633957130.00,2913485629.00
7-Jan-20,45.84,46.86,44.72,46.42,3611521907.00,2962310517.00
6-Jan-20,43.60,45.96,43.49,45.82,3349237768.00,2923126044.00
5-Jan-20,43.29,44.73,43.00,43.55,3017148033.00,2778396525.00
